,repo,starCount,User,Contribs
254,73,1615.0,AdamBien,1396
231,76,4623.0,AllenDowney,1532
154,103,2873.0,Caged,2169
101,51,14615.0,CamDavidsonPilon,2839
182,57,21048.0,ChenYilong,1892
32,123,7314.0,DataTables,5328
69,6,59.0,EisenbergEffect,3540
107,152,26103.0,FezVrasta,2766
0,21,2552.0,GrahamCampbell,11088
184,53,1497.0,Haacked,1886
26,38,5364.0,HugoGiraudel,5948
57,87,90752.0,JakeWharton,3957
82,101,3403.0,JaviSoto,3237
38,88,19395.0,JedWatson,4890
17,86,8757.0,KrauseFx,6710
10,261,2882.0,Ocramius,7473
168,31,181.0,QuincyLarson,1978
74,575,6585.0,Raynos,3392
228,124,4585.0,SamSaffron,1548
5,63,20650.0,SamyPesse,8074
96,182,8439.0,Seldaek,2924
115,59,17933.0,Shougo,2577
173,65,7609.0,StephenGrider,1962
138,32,14354.0,Unknwon,2339
76,70,5258.0,Urigo,3359
194,229,1555.0,aaronpk,1747
236,295,46390.0,addyosmani,1483
14,119,704.0,afc163,6945
16,24,21399.0,afollestad,6917
198,63,1432.0,agentzh,1726
110,59,13950.0,ai,2655
255,222,1336.0,akrabat,1386
29,364,24203.0,alex,5692
141,214,2991.0,alloy,2313
148,93,1320.0,amasad,2279
226,27,189.0,ammeep,1553
253,132,6933.0,amueller,1398
9,246,901.0,andrew,7502
170,8,1575.0,angusshire,1970
216,152,27082.0,ankane,1608
191,68,2176.0,apotonick,1795
165,352,3180.0,appleboy,2035
119,227,5827.0,arunoda,2525
85,220,6681.0,ashfurrow,3153
126,295,1027.0,ashleygwilliams,2468
31,168,3075.0,atmos,5368
238,103,7223.0,azat-co,1479
221,218,1869.0,balupton,1578
97,54,3323.0,barretlee,2918
128,99,37125.0,bbatsov,2427
223,46,5233.0,be5invis,1562
24,206,4740.0,benbalter,6174
153,131,3059.0,benjamn,2175
19,286,41945.0,bevacqua,6532
246,147,6601.0,bkeepers,1437
130,293,3747.0,brentvatne,2414
95,166,4359.0,brianleroux,2944
11,369,5492.0,c9s,7275
234,161,6653.0,cheeaun,1516
181,118,15175.0,chenglou,1900
156,63,31513.0,chjj,2139
193,44,8119.0,chrisjenx,1768
178,417,37174.0,creationix,1914
147,169,3319.0,curran,2279
92,34,443.0,cvrebert,2965
230,10,37.0,cyanogen,1540
186,182,6202.0,davecheney,1844
239,120,1443.0,davidfowl,1470
80,40,6316.0,davidsonfellipe,3258
25,155,6123.0,dcramer,6129
134,220,10899.0,ddollar,2367
68,66,4351.0,dlew,3553
163,158,5193.0,domenic,2061
83,816,14624.0,dominictarr,3197
53,27,61072.0,donnemartin,4092
117,31,214.0,dougwilson,2544
207,64,14908.0,drakeet,1669
150,468,4601.0,drnic,2235
54,213,892.0,dsyer,4074
139,56,5377.0,ebidel,2334
79,93,6510.0,eduardolundgren,3290
185,224,4675.0,ekmett,1885
217,110,9460.0,ericdouglas,1602
183,118,5783.0,ericelliott,1887
122,106,1119.0,ericholscher,2486
195,97,8130.0,evanw,1746
1,28,831.0,fabpot,10000
13,115,12161.0,feross,6995
240,172,7993.0,fnando,1469
41,97,650.0,frsyuki,4478
109,39,17350.0,fzaninotto,2662
60,214,41017.0,gaearon,3805
23,784,1790.0,gdi2290,6265
65,181,11407.0,geerlingguy,3660
214,8,548.0,gitster,1629
177,21,15380.0,gorhill,1946
224,40,1896.0,grp,1561
28,204,10171.0,hadley,5852
179,271,13816.0,hemanth,1913
218,21,4164.0,hueniverse,1595
180,74,2306.0,ibdknox,1905
143,60,6662.0,indragiek,2310
100,283,6901.0,indutny,2848
135,50,17268.0,jakiestfu,2355
204,148,4280.0,jamesmontemagno,1685
142,369,2734.0,jamesward,2313
222,56,3198.0,jamztang,1572
51,16,220.0,jdalton,4105
91,208,10880.0,jedisct1,2989
209,66,919.0,jennschiffer,1658
106,80,222.0,jeremy,2786
155,75,14782.0,jessesquires,2153
133,65,13732.0,jgm,2398
205,167,205.0,jiyinyiyong,1685
162,149,8073.0,jlord,2075
111,68,8816.0,jnunemaker,2646
252,97,30876.0,johnpapa,1398
36,55,929.0,jonathanong,4999
43,302,1957.0,josegonzalez,4450
44,180,27379.0,josephmisiti,4450
59,27,2376.0,josevalim,3824
4,57,3269.0,josh,8369
63,38,2985.0,joshaber,3724
199,22,470.0,jskeet,1722
245,712,6326.0,juliangruber,1439
58,44,9925.0,jverkoey,3951
227,100,7107.0,kartik-v,1552
187,114,2062.0,kazuho,1841
124,399,9312.0,kentcdodds,2472
